id,city_id,name
243,258,Metro Bilbao
287,258,Tranvía
288,258,Euskotren Trena
234,249,Skytrain
253,21,Transmilenio
290,264,Tranvía de Zaragoza
291,264,Cercanías Renfe
292,266,STAR
221,236,Link Light Rail
295,266,Tramways Électriques Rennais (TER)
232,247,Toronto Transit Commission Subway
237,252,WMATA Metrorail
382,114,Saitama New Urban Transit
293,114,Toei Subway
100,114,Tokyo Metro
294,267,Tram
296,95,Tramway d'Île-de-France
297,95,RER
298,95,Transilien
300,95,Grand Paris Express
301,95,TZen
302,95,Funiculaire
289,265,Tramway
303,95,Navettes fluviales
304,114,Toei Light Rail
638,259,Ómnibus
313,114,Tokyo Waterfront New Transit Corporation
315,126,Macrobús
327,265,Ancien tramway
317,67,Comboios de Portugal
299,95,Dessertes aéroportuaires
260,14,FGC + Rodales
319,21,SITP Provisional
321,21,Taxis compartidos
354,77,Yarra Trams
355,211,OC Transpo
323,114,Metropolitan Intercity Railway Company
328,265, Navettes fluviales
329,265,Chronobus
330,21,SITP
331,21,TransmiCable
332,21,Tren de la Sabana
76,89,Metro
333,89,National Rail
184,199,STM
336,268,Euskotren
337,268,Renfe
338,1,Trenes Metropolitanos
340,114,Yokohama Municipal Subway
63,74,Métro de Marseille
341,74,Tramway de Marseille
342,70,Tramway
343,70,Funiculaire
356,70,Tram-Train
345,267,City Bus
346,74,Liaisons maritimes
347,118,Bus
348,23,Navette fluviale
174,189,LA Metro Rail
359,236,Monorail
360,63,KTM Komuter
361,63,Express Rail Link (ERL)
196,211,OC Transpo (Capital Railway)
362,231,Caltrain
364,247,GO Transit
365,111,Sydney Metro
366,111,Sydney Light Rail
97,111,Sydney Trains
370,91,Hankyu
371,91,Hanshin
372,91,Keihan
373,91,Nankai
374,91,Kintetsu
378,27,Tram
379,82,S-Bahn
380,82,Tram
381,307,Tram
383,275,Tramway
384,293,Tramway
385,293,Téléphérique
386,310,Métro
387,310,TEOR
388,280,Tramway
389,286,Tram
390,286,Téléphérique
392,14,Tram
90,102,Turísticos
393,102,VLT Carioca
394,102,Metrô Rio
395,102,SuperVia
396,102,CCR Barcas
397,102,BRT Rio
402,328,Tram
403,328,BHNS
404,324,Tram
407,108,SBS Transit
240,255,Winnipeg Transit - MBMetroRail
357,236,KCM Rapid Bus Corridors
369,91,Osaka Metro
110,139,MBTA Subway
358,236,InterCounty Train
377,114,Chichibu Railway
324,114,Hokuso Railway
376,114,Isumi Railway
368,114,Chiba Urban Monorail
305,114,JR East
399,114,Kaigan Electric Railway
306,114,Keikyu
307,114,Keio
375,114,Kominato Railway
409,114,Nanso Railway
391,114,Narita Railway
309,114,Odakyu
352,114,Sagami Railway
349,114,Shonan Monorail
311,114,Tobu
314,114,Tokyo Monorail
322,114,Saitama Railway Corporation
325,114,Tokyo Toden
310,114,Seibu
339,114,Toyo Rapid Railway
363,114,Yamaman
312,114,Tokyu
351,114,Yokohama Minatomirai Railway Company
410,114,Yokohama Municipal Streetcar
350,114,Yokohama Seaside Line
308,114,Keisei
589,91,Hankai Tramway
590,236,Seattle Subway
66,77,Metro Trains Melbourne
416,1,Metrobús
423,139,CapeFLYER
461,126,Ruta-Empresa
463,331,Tramway
464,331,Funiculaire
465,305,Tramway
466,317,Tramway
467,314,Tramway
468,265,Tram-train
469,300,Tramway
470,124,Desvios Ferroviarios
591,236,Free Transfer Between Stations
471,325,Métro
472,325,Tramway
473,327,Métro
474,283,Tramway
475,110,Roslagsbanan
476,110,Nockebybanan
478,4,Tranvías Suburbanos
479,206,NYW&B
480,206,NYNH&H
477,206,IRT
483,206,New York Central
484,327,Tramway
485,327,AMITRAM
486,291,Tramway
487,294,Tramway
488,256,Metro
489,256,Tramvia
482,206,MTA Metro-North
490,206,BMT
491,318,TVR
492,308,Tramway
493,124,Ascensores
494,4,Corredor Bus
496,206,PATH
498,206,Long Island Railroad
495,206,MTA Long Island Railroad
499,206,MTA Staten Island Railroad
497,206,NJT Newark Light Rail
500,206,NJT Hudson-Bergen Light Rail
501,261,Corredor Bus
422,139,MBTA Commuter Rail
502,139,Boston & Albany Railroad
535,139,Boston Elevated Railway
536,139,MBTA Commuter Rail
537,124,Trolebuses
538,139,New Haven Railroad
539,139,Boston & Maine Railroad
540,91,Mizuma Railway
541,91,Semboku Rapid Railway
542,91,Kyoto Municipal Subway
543,91,Eizan Electric Railway
544,91,Osaka Monorail
545,91,Kita-Osaka Kyuko Railway
546,91,Kobe Municipal Subway
548,91,Sanyo Electric Railway
549,91,Kobe New Transit
550,91,Kobe Electric Railway
551,91,JR Central
413,110,Pendeltåg
552,91,Nose Electric Railway
553,91,Hokushin Kyuko Electric Railway
554,91,Wakayama Electric Railway
587,91,Iga Railway
588,64,Teleférico
592,252,WMATA Metrobus
626,48,Glasgow to Edinburgh Lines
627,48,North of Scotland lines
628,48,Ayrshire & Inverclyde Lines
629,45,National Rail
630,323,Lanka Bus Group
631,48,Intercity Lines
632,91,Keifuku Electric Railroad
625,48,Suburban Lines
633,91,Ohmi Railway
634,91,Shigaraki Kogen Railway
414,114,Bushu Railway
420,114,Choshi Electric Railway
426,114,Fuji Kyuko
417,114,Honjo Electric Railway
418,114,Izuhakone Railway
421,114,JR Central
425,114,Jomo Electric Railway
419,114,Kanto Railway
459,114,Kashima Rinkai Railway
401,114,Kawasaki Transportation Department
415,114,Kujukuri Railway
460,114,Moka Railway
411,114,Ryutetsu
334,114,Tokyo Tama Intercity Monorail
316,114,Tokyo Waterfront Area Rapid Transit
462,114,Utsunomiya Light Rail Company
